"sppid";"Name";"Family";"CommonName";"Name";"Native/Invasive";"nemba";"EDRR target species (www.CTinvasives.co.za)";"Diagnostics";"Peninsula Notes"
115;"Billardiera heterophylla";"PITT";"Bluebell Creeper";"Billardiera heterophylla";"Invasive";"1a";"not listed";"Rounded shrub, with twining branches; new shoots silky hairy; leaf trilobed when juvenile, linear when adult, softly hairy aging hairless, bright green; flowerheads with 1-3 bell flowers, slender nodding; fruit green-blue, cylindrical, seeds many, sticky";"From SAPIA 2010; was Sollya;"
50;"Boerhavia diffusa";"NYCT";"Red Spiderling";"Boerhavia diffusa";"Invasive";"not listed";"not listed";"Perennial; decumbent, well branched; leaf mostly in basal part; flowerhead branched, diffuse, slender, with 2-5-flower clusters; fruit sticky, ribs abruptly bent, hairy";"Croplands, roadsides and bare areas"
248;"Brachypodium distachyon ";"POAC";"Purple False Brome";"Brachypodium distachyon ";"Invasive";"not listed";"not listed";"Awns long";"Disturbed areas, locally common"
249;"Brassica napus ";"BRAS";"Oilseed Rape";"Brassica napus ";"Invasive";"not listed";"not listed";"Perennial, roughly hairy, tall slender; stem leaves clasping, sessile; flowers 4-cross, dull yellow, in  spike, sepals spreading";"Cultivated and disturbed areas; rare"
250;"Brassica oleracea ";"BRAS";"Wild Cabbage";"Brassica oleracea ";"Invasive";"not listed";"not listed";"Perennial, hairless, stem thick, woody at base, tall, straggling; leaves fleshy, upper leaves not clasping; flowers 4-cross, in long spike, sepals erect";"Disturbed areas; rare"
251;"Brassica tournefortii ";"BRAS";"Med Mustart";"Brassica tournefortii ";"Invasive";"not listed";"not listed";"Annual, slender; roughly hairy on lower parts;  flowers pale yellow, stigma 2-lobed; fruit hairless with a long beak with 1-3 seeds";"Sand at low altitudes; common"
252;"Briza maxima ";"POAC";"Large Turtle Grass";"Briza maxima ";"Invasive";"not listed";"not listed";"Panicles drooping; spikelets large 8-25mm long, humped turtles, no awns ";"Well-drained soils in disturbed areas and natural vegetation, locally common"
253;"Briza minor ";"POAC";"Small Quaking Grass";"Briza minor ";"Invasive";"not listed";"not listed";"Panicles drooping; spikelets small 2-5mm long, humped turtles, no awns ";"Moist shady and shady disturbed areas, locally common, infrequent in natural areas"
254;"Bromus catharticus ";"POAC";"Rescue Grass";"Bromus catharticus ";"Invasive";"not listed";"not listed";"Annual (or perennial); spikelets green, flat, large; awns short";"Moist to wet places, shade, mainly urban areas; common"
255;"Bromus diandrus ";"POAC";"Ripgut Brome";"Bromus diandrus ";"Invasive";"not listed";"not listed";"Leaf sheaths striped; panicle course, awns rough, green, to 60mm long";"Disturbed areas, locally common; cultivated areas and veld alongside"
256;"Bromus hordeaceus subsp. molliformis";"POAC";"Soft Brome";"Bromus hordeaceus subsp. molliformis";"Invasive";"not listed";"not listed";"Erect tussock, scabrid awns";"Disturbed areas, locally common"
71;"Bryophyllum delagoense";"CRAS";"Candelabra Plant";"Bryophyllum delagoense";"Invasive";"1b";"listed";"Leaves cylindrical, grey-green mottled with dark or red spots, opposite below and alternate or in whorls or 3 above, 2-9 teeth often with plantlets, shed before flowering; flowers tubular, pendant";"Not recorded on Peninsula"
117;"Buddleja davidii";"BUDL";"Butterflybush";"Buddleja davidii";"Invasive";3;"not listed";"Widely spreading evergreen to 5m; stems squarish; leaf lance-shaped, grey-green, on long arching stems, margins smooth or slightly toothed; flowers in long, terminal, pointed spikes, purple (vars various) with yellow centre";"From SAPIA 2010"
257;"Buddleja madagascariensis ";"BUDL";"Smokebush";"Buddleja madagascariensis ";"Invasive";3;"not listed";"Straggling shrub, with dense, stellate hairs; stipule reduced to a line; flowers orange- yellow, scented; ";"Not recorded in 1950"
37;"Callisia repens";"COMM";"Creeping Inchplant";"Callisia repens";"Invasive";"1b";"not listed";"Low growing; leaf green, fleshy, tinged purple beneath; flowers minte, white, inconspicuous";"Disturbed areas and sandy riverbanks"
258;"Callistemon citrinus";"MYRT";"Lemon Bottlebrush";"Callistemon citrinus";"Invasive";3;"not listed";"Branches stiff; leaves erect, veins visible both sides, 30-70mm long, 5-8mm wide; flowers on stems, bright red, anthers bright, not divided; fruit clustered on stem, retained";"Not recorded in 1950"
259;"Callistemon rigidus";"MYRT";"Stiffleaf Bottlebrush";"Callistemon rigidus";"Invasive";"1b";"not listed";"Branches stiff, erect; leaves erect, 50-70mm long, 3-4mm wide; flowers on stems, bright red, anthers bright, not divided; fruit clustered on stem, retained";"Not recorded in 1950"
260;"Callistemon viminalis";"MYRT";"Weeping Bottlebrush";"Callistemon viminalis";"Invasive";3;"not listed";"Branches drooping, leaves with secretory cavities if held to light, 30-70mm long, 3-7mm wide; flowers drooping, bright red, anthers bright, not divided; fruit clustered on stem, retained";"Not recorded in 1950"
615;"Calothamnus quadrifidus";"MYRT";"Lineleaf One-side Bottlebrush";"Calothamnus quadrifidus";"Invasive";"not listed";"not listed";"Robust shrub; leaves sessile, linear, 1-2mm wide; flowers brush-like in row, borne in bottlebrushes on old wood, red (white or yellow); seeds retained on stem in woody capsules.";"Below Tafelberg Road"
261;"Calothamnus sanguineus";"MYRT";"Scarlet One-side Bottlebrush";"Calothamnus sanguineus";"Invasive";"not listed";"not listed";"Erect; sepals and petals inconspicuous - grey or brown, anthers tubular but split below, crimson, fringed; seeds stored in rounded nuts on stem";"Sandy soil; rare; Silvermine"
262;"Canna indica ";"CANN";"Indian Shot";"Canna indica ";"Invasive";"1b";"not listed";"Perennial, erect, unbranched; leaf large, green; flowers red or orange narrow (cultivars broad); capsule, spiny, 3-valved";"Not recorded in 1950"
263;"Cannabis sativa ";"CANB";"Dagga";"Cannabis sativa ";"Invasive";"not listed";"not listed";"Annual, tall, strong smelling; leaf deeply lobed to base with 5-7 tips, lowermost opposite, upper alternate; flowers green; sexes separate";"Roadsides and disturbed areas; rare; occasionally cultivated in hidden areas"
